32,195,496,195,496,215,32,215,0.9968696
416,413,448,413,448,438,416,438,0.9968375
32,132,480,132,480,151,32,151,0.9966903
32,308,288,308,288,329,32,329,0.9966068
288,514,480,514,480,540,288,540,0.9964903
16,41,192,41,192,66,16,66,0.996425
176,587,208,587,208,603,176,603,0.9964115
240,0,544,0,544,15,240,15,0.9963534
288,428,528,428,528,453,288,453,0.99608564
16,386,432,386,432,408,16,408,0.9960478
352,582,464,582,464,595,352,595,0.9960329
304,230,496,230,496,256,304,256,0.9958139
16,274,784,274,784,295,16,295,0.9958015
304,343,512,343,512,373,304,373,0.99577963
752,581,815,581,815,596,752,596,0.99570566
16,554,368,554,368,576,16,576,0.99557495
288,471,496,471,496,505,288,505,0.99555606
64,582,176,582,176,596,64,596,0.99552995
16,99,784,99,784,118,16,118,0.995522
16,163,800,163,800,185,16,185,0.995501
528,561,800,561,800,576,528,576,0.9954572
