400,312,480,312,480,343,400,343,0.9971827
144,241,752,241,752,267,144,267,0.9971571
144,356,864,356,864,385,144,385,0.99699914
144,478,864,478,864,503,144,503,0.9969689
144,518,848,518,848,539,144,539,0.99693584
448,164,864,164,864,190,448,190,0.99687874
144,435,848,435,848,462,144,462,0.9968754
480,299,848,299,848,326,480,326,0.9968395
144,399,848,399,848,424,144,424,0.9967873
448,126,880,126,880,152,448,152,0.99675673
144,297,272,297,272,344,144,344,0.9967558
816,250,864,250,864,267,816,267,0.9967463
208,200,864,200,864,231,208,231,0.9967289
400,276,464,276,464,309,400,309,0.99671257
272,296,400,296,400,328,272,328,0.99667645
176,274,240,274,240,311,176,311,0.9966445
