64,578,144,578,144,596,64,596,0.99777514
112,164,784,164,784,195,112,195,0.9977367
752,580,784,580,784,596,752,596,0.9976096
112,294,752,294,752,325,112,325,0.99759126
80,118,384,118,384,152,80,152,0.99758863
192,30,576,30,576,76,192,76,0.99755067
112,206,768,206,768,235,112,235,0.9975477
112,378,384,378,384,409,112,409,0.99754035
112,248,672,248,672,278,112,278,0.9975401
64,428,688,428,688,459,64,459,0.9975114
112,336,768,336,768,366,112,366,0.9974722
208,467,432,467,432,499,208,499,0.9974074
80,505,720,505,720,537,80,537,0.9973864
304,578,528,578,528,596,304,596,0.9973802
